field,explanation
sync_name,The device which collected the mirrored data.
source_address,Source IP address of the connection.
destination_address,Destination IP address of the connection.
source_port,Source port value of the connection.
destination_port,Destination port value of the connection.
protocol,Network layer protocol's numeric equivalent used in the connection.
app_protocol,Application layer protocol's numeric equivalent used in the connection.
application_name,Application layer protocol's name used in the connection.
application_category_name,Application layer protocol's used in the connection.
master_application_name,Application layer protocol's master protocol -if its exist- used in the connection.
tunnel_source_address,Tunneled source IP address of the connection.
tunnel_destination_address,Tunneled destination IP address of the connection.
source_mac,Source MAC address of the connection.
destination_mac,Destination MAC address of the connection.
package_count,Seen packet count in bidirectional traffic.
login_fail_count,Sets to 1 if a login fail detected.
login_success,Sets to 0 if a login success detected.
expiration_id,"Sets to 0 if the session finished with idle timeout, sets to 1 if finished other than idle timeout, sets to 2 if process killed and session did not finished."
drop_eligible,VLAN header drop_eligible flag equivalent if set true else false.
priority,VLAN header priority value.
vlan_identifier,VLAN vlan_identifier value.
event_time,Time value when the session collected.
bidirectional_first_seen_ms,Bidirectional first seen time in millisecond.
bidirectional_last_seen_ms,Bidirectional last seen time in millisecond.
bidirectional_duration_ms,Bidirectional session duration in millisecond.
bidirectional_bytes,Bidirectional seen bytes sum.
bidirectional_max_piat_ms,Bidirectional max value of seen packet time difference with last seen packet in millisecond.
bidirectional_max_ps,Bidirectional max value of seen packet size.
bidirectional_mean_piat_ms,Bidirectional mean value of seen packet time difference with last seen packet in millisecond.
bidirectional_mean_ps,Bidirectional mean value of seen packet size.
bidirectional_min_piat_ms,Bidirectional min value of seen packet time difference with last seen packet in millisecond.
bidirectional_min_ps,Bidirectional min value of seen packet size.
bidirectional_packets,Bidirectional packet count in the session.
bidirectional_stddev_piat_ms,Bidirectional standard deviation value of seen packet time difference with last seen packet in millisecond.
bidirectional_stddev_ps,Bidirectional standard deviation value of seen packet size.
bidirectional_syn_packets,Bidirectional TCP SYN flag count in the session.
bidirectional_cwr_packets,Bidirectional TCP Congestion-Window-Reduced flag count in the session.
bidirectional_ece_packets,Bidirectional TCP ECN-Echo flag count in the session.
bidirectional_urg_packets,Bidirectional TCP Urgent flag count in the session.
bidirectional_ack_packets,Bidirectional TCP Acknowledgement flag count in the session.
bidirectional_psh_packets,Bidirectional TCP Push flag count in the session.
bidirectional_rst_packets,Bidirectional TCP Reset flag count in the session.
bidirectional_fin_packets,Bidirectional TCP FIN flag count in the session.
src2dst_first_seen_ms,Source->Destination first seen time in millisecond.
src2dst_last_seen_ms,Source->Destination last seen time in millisecond.
src2dst_duration_ms,Source->Destination duration in millisecond.
src2dst_packets,Source->Destination packet count in the session.
src2dst_bytes,Source->Destination seen bytes sum.
src2dst_max_piat_ms,Source->Destination max value of seen packet time difference with last seen packet in millisecond.
src2dst_max_ps,Source->Destination max value of seen packet size.
src2dst_mean_piat_ms,Source->Destination mean value of seen packet time difference with last seen packet in millisecond.
src2dst_mean_ps,Source->Destination mean value of seen packet size.
src2dst_min_piat_ms,Source->Destination min value of seen packet time difference with last seen packet in millisecond.
src2dst_min_ps,Source->Destination min value of seen packet size.
src2dst_stddev_piat_ms,Source->Destination standard deviation value of seen packet time difference with last seen packet in millisecond.
src2dst_stddev_ps,Source->Destination standard deviation value of seen packet size.
src2dst_syn_packets,Source->Destination TCP SYN flag count in the session.
src2dst_cwr_packets,Source->Destination TCP Congestion-Window-Reduced flag count in the session.
src2dst_ece_packets,Source->Destination TCP ECN-Echo flag count in the session.
src2dst_urg_packets,Source->Destination TCP Urgent flag count in the session.
src2dst_ack_packets,Source->Destination TCP Acknowledgement flag count in the session.
src2dst_psh_packets,Source->Destination TCP Push flag count in the session.
src2dst_rst_packets,Source->Destination TCP Reset flag count in the session.
src2dst_fin_packets,Source->Destination TCP FIN flag count in the session.
dst2src_first_seen_ms,Destination->Source first seen time in millisecond.
dst2src_last_seen_ms,Destination->Source last seen time in millisecond.
dst2src_duration_ms,Destination->Source session duration in millisecond.
dst2src_packets,Source->Destination packet count in the session.
dst2src_bytes,Source->Destination seen bytes sum.
dst2src_max_piat_ms,Destination->Source max value of seen packet time difference with last seen packet in millisecond.
dst2src_max_ps,Destination->Source max value of seen packet size.
dst2src_mean_piat_ms,Destination->Source mean value of seen packet time difference with last seen packet in millisecond.
dst2src_mean_ps,Destination->Source mean value of seen packet size.
dst2src_min_piat_ms,Destination->Source min value of seen packet time difference with last seen packet in millisecond.
dst2src_min_ps,Destination->Source min value of seen packet size.
dst2src_stddev_piat_ms,Destination->Source standard deviation value of seen packet time difference with last seen packet in millisecond.
dst2src_stddev_ps,Destination->Source standard deviation value of seen packet size.
dst2src_syn_packets,Destination->Source TCP SYN flag count in the session.
dst2src_cwr_packets,Destination->Source TCP Congestion-Window-Reduced flag count in the session.
dst2src_ece_packets,Destination->Source TCP ECN-Echo flag count in the session.
dst2src_urg_packets,Destination->Source TCP Urgent flag count in the session.
dst2src_ack_packets,Destination->Source TCP Acknowledgement flag count in the session.
dst2src_psh_packets,Destination->Source TCP Push flag count in the session.
dst2src_rst_packets,Destination->Source TCP Reset flag count in the session.
dst2src_fin_packets,Destination->Source TCP FIN flag count in the session.
is_username,If username detected sets to true.
username,First seen username in the session.
username_arr,List of usernames in the sessions.
is_hostname,If hostname detected sets to true.
source_hostname,First seen source hostname in the session.
source_hostname_arr,List of seen source hostnames in the session.
destination_hostname,First seen destination hostname in the session.
destination_hostname_arr,List of seen destination hostnames in the session.
domain,First seen domain in the session.
domain_arr,List of domains in the session.
dns_query_name,Query name of the DNS request seen in the session.
dns_query_len,Query length of the DNS request seen in the session.
dns_query_type,Query type of the DNS request seen in the session.
dns_answer_name,Answer name of the DNS seen in the session.
dns_answer_len,Answer len of the DNS seen in the session.
dns_answer_type,Answer type of the DNS seen in the session.
dns_answer_addresses,DNS answer IP's for requested domains.
dns_not_exist,DNS not exist flag if not exist sets to 1.
dns_server_direction,"Server side direction. (src, dst)"
dns_query_main_domain,Query main domain of the DNS request seen in the session.
dns_query_sub_domain,Query sub domain of the DNS request seen in the session.
dns_query_has_sub_domain,If DNS query has sub domain sets to 1.
DNS.large_package_count,If query length more than 69 increments.
DNS.dns_query_count,Query count in the DNS session.
